ID,Content,Label,Sentiment
131,我65歲 我選國昌老師,TPP_Huang,Positive
132,新北更好的選擇黃國昌,TPP_Huang,Positive
133,"支持認真的國昌老師,但憂心如果藍白不整合，民退黨又整碗捧了",TPP_Huang,Positive
134,因為我是民進黨。所以不需要有腦 高層貪污 我在做工還在笑系系,DPP_Su,Negative
135,黃國昌加油！,TPP_Huang,Positive
136,支持黃國昌,TPP_Huang,Positive
137,好難選，李四川和黃國昌都很好，這2位都好!,TPP_Huang,Positive
138,好難選，李四川和黃國昌都很好，這2位都好!,KMT_Lee,Positive
139,2026唯一共識！下架民進黨教訓賴清德,DPP_Su,Negative
140,藍白誰當選我都沒意見，不要讓民進黨撿到就好,TPP_Huang,Positive
141,藍白誰當選我都沒意見，不要讓民進黨撿到就好,KMT_Lee,Positive
142,李四川非常專業，高雄副市長、新北、台北副市長，經驗豐富，又專業、認真，不可多得的人才，如果李四川是新北市長是人民的服氣。,KMT_Lee,Positive
143,全家投國蔥,TPP_Huang,Positive
144,又來了又來了，街頭民調只要投綠的幾乎都沒有什麼論述，都是投信仰的,DPP_Su,Negative
145,新北如果藍白合的話贏面很大。,TPP_Huang,Positive
146,新北如果藍白合的話贏面很大。,KMT_Lee,Positive
147,國昌老師加油,TPP_Huang,Positive
148,十個政客九個騙，還有一個再訓練，所以川伯實在，昌哥有正義，都是不錯的人選，加油。,TPP_Huang,Positive
149,十個政客九個騙，還有一個再訓練，所以川伯實在，昌哥有正義，都是不錯的人選，加油。,KMT_Lee,Positive
150,1:39 蘇巧慧在立法院到底有什麼表現，最好是能講得出來。,DPP_Su,Negative
151,恭喜黃國昌當選新北市市長，，，，，，,TPP_Huang,Positive
152,會支持民禁洞腦子應該破了 不然就傻了,DPP_Su,Negative
153,藍白不管誰上，第一件事可以拆除賴皮寮這違章建築嗎？,TPP_Huang,Positive
154,藍白不管誰上，第一件事可以拆除賴皮寮這違章建築嗎？,KMT_Lee,Positive
155,川伯跟國昌都好，守住新北，不要讓綠的有機會！,TPP_Huang,Positive
156,川伯跟國昌都好，守住新北，不要讓綠的有機會！,KMT_Lee,Positive
157,從質詢次數就可以知道黃在真正做事，不要看黨派，誰是誰的誰並不重要,TPP_Huang,Positive
158,藍白一定要整合，不然總統大選的悲劇會再現。,TPP_Huang,Positive
159,藍白一定要整合，不然總統大選的悲劇會再現。,KMT_Lee,Positive
160,戰神昌,TPP_Huang,Positive
161,國昌老師加油,TPP_Huang,Positive
162,綠執政太久，政黨輪替 國昌老師有在做事，揭弊！為人正直！ 為了台灣，年輕世代站出來,TPP_Huang,Positive
163,改變成真！ 謝謝民眾黨努力的各位,TPP_Huang,Positive
164,感謝，支持國昌老師,TPP_Huang,Positive
165,支持黃國昌、全家戶籍遷新北市！,TPP_Huang,Positive
166,帥 好帥 國昌哥哥超級無敵帥,TPP_Huang,Positive
167,我是藍的，我的票只會投給國民黨；絕對不會投給白的。最討厭民眾黨和柯文哲了，反對藍白合。請民眾黨自己選吧。,KMT_Lee,Positive
168,新北人一般都會投李四川,KMT_Lee,Positive
169,我發現支持民進黨的人大部分都只看顏色不看人,DPP_Su,Negative
170,新北給國昌選，藍營在其他縣市就很好選。希望藍營聽懂這句話！ 32：0 已印證了不是嗎！,TPP_Huang,Positive
171,國蔥快來新北當市長，這邊延宕的建設好多,TPP_Huang,Positive
172,國民黨在新北太久了想換民眾黨試看看 綠的就算了看了就倒胃口,TPP_Huang,Positive
173,我也選黃國昌,TPP_Huang,Positive
174,棒棒的！國昌老師 加油.. 最好的選擇,TPP_Huang,Positive
175,政策執行力川伯讚  選舉如戰場 國昌 讚,TPP_Huang,Positive
176,政策執行力川伯讚  選舉如戰場 國昌 讚,KMT_Lee,Positive
177,支持民眾黨科學，理性，清白貪污,TPP_Huang,Positive
178,民進黨不倒 台灣不會好,DPP_Su,Negative
179,蘇巧慧就不用出來白費功天啦！,DPP_Su,Negative
180,討厭民進黨成在野最大共識,DPP_Su,Negative
181,黃國昌加油！,TPP_Huang,Positive
182,我新北，唯一支持川伯,KMT_Lee,Positive
183,民進黨在年輕人眼裡是厭惡至極 看來在過幾年民進黨真的票會越來越少,DPP_Su,Negative
184,李不適任，畢竟政務官做太久，包袱太重，容易被牽制,KMT_Lee,Negative
185,不管如何，藍白在新北只能推派一人出來選，搞三脚督必輸,KMT_Lee,Positive
186,不管如何，藍白在新北只能推派一人出來選，搞三脚督必輸,TPP_Huang,Positive
187,新北 支持國昌老師,TPP_Huang,Positive
188,希望藍白整合成功,TPP_Huang,Positive
189,希望藍白整合成功,KMT_Lee,Positive
190,哇哈哈哈哈！笑死鬼！ 不喜歡黃國昌，因為他很衝！ 喜歡蘇巧慧，因為傳承蘇貞昌？他不是衝衝衝？,DPP_Su,Negative
191,蘇巧慧就不用出來白費功天啦！,DPP_Su,Negative
192,國昌老師加油,TPP_Huang,Positive
193,支持川伯比較有能力川伯加油,KMT_Lee,Positive
194,全能國昌老師,TPP_Huang,Positive
195,黃國昌，敢衝，敢做，清廉,TPP_Huang,Positive
196,國昌老師是一個很有肚量的人，大罷免之前被民進黨欺負成那樣，也沒有記恨，大罷免之後仍然可以跟柯建銘化敵為友。台灣現在根本不是政黨惡鬥，是民進黨自己找別人來鬥,TPP_Huang,Positive
197,街頭派對～ 李四川、黃國昌、 絕不選蘇小慧。,TPP_Huang,Positive
198,街頭派對～ 李四川、黃國昌、 絕不選蘇小慧。,KMT_Lee,Positive
199,蘇巧慧在搞葉元之大罷免時，這人很陰，其他藍白哪個出線我都ok,DPP_Su,Negative
200,青鳥側翼崩潰吧,DPP_Su,Negative
201,國昌哥上車咯,TPP_Huang,Positive
202,公正比民調出線吧！民眾黨理性科學務實,TPP_Huang,Positive
203,一定要喬好，只能一個人出來，不然會爽到民進黨 因為早市的被洗腦的老人都選民進黨,KMT_Lee,Positive
204,一定要喬好，只能一個人出來，不然會爽到民進黨 因為早市的被洗腦的老人都選民進黨,TPP_Huang,Positive
205,黃國昌 加油~戰神!!,TPP_Huang,Positive
206,支持川伯,KMT_Lee,Positive
207,黃國昌不可能，不可能，不可能，要說3次，太年輕了,TPP_Huang,Negative
208,各位小草，一定要支持國昌老師，打敗李四川和蘇巧慧,TPP_Huang,Positive
209,我昌威武！文昌之治,TPP_Huang,Positive
210,想到蘇貞昌過往種種言行 還真不會想投給他的人,DPP_Su,Negative
211,我們不支持貪污黨 不投獨裁賴清德那一黨 邪惡的民進黨，貪污官一堆，太可惡,DPP_Su,Negative
212,不會笨到要選在水庫上設光電板的那個黨吧... 國蔥為何每次都發飆?! 這政府做事做不好...又亂花錢...如果這是你的錢...你火氣不大嗎?!,DPP_Su,Negative
213,永遠記住：民進黨不倒台灣不會好,DPP_Su,Negative
214,川伯加油，國昌也要心服口服的心寬,KMT_Lee,Positive
215,雙北繼續給 KMT 執政真是太棒了，幾十年來最大貢獻就是促進南北平衡發展，為了讓南部縣市急起直追超越北部，為了整個台灣的平衡發展，就煩請雙北市民讓國民黨繼續執政，為台灣的未來和整體人民做出巨大貢獻。,KMT_Lee,Positive
216,必須要給民眾黨一個機會慢慢取代民進黨,TPP_Huang,Positive
217,國民黨在新北市執政很久，應該要換黨做做看，我支持蘇巧慧。,DPP_Su,Positive
218,支持黃國昌，但是藍白合在新北恐怕還是李四川 但是怕川伯出來，馬上就被用輝達圖利去抹黑了,TPP_Huang,Positive
219,國昌葛葛上車囉,TPP_Huang,Positive
220,1. 如果國民黨切割台灣民眾黨，我寧可投廢票，也不可能支持李四川。畢竟我原本就厭惡李四川這類虛假包裝下的樣板。 2. 如果國民黨與台灣民眾黨充分互惠，即便我厭惡李四川高過蘇巧慧，我會按耐情緒，支持國民黨推薦的人選。 我高雄人，我就是用這種情緒投票，無論是大選或地方選舉，無論對象是韓國瑜或柯志恩。北部的小草只怕比我更激進，如果國民黨手段不乾淨的話。,TPP_Huang,Positive
221,2026在野需要合作，否則三腳督，大概率會是民進黨當選,KMT_Lee,Positive
222,"各縣市, 藍白瞧一個出來選就對了!!",TPP_Huang,Positive
223,"各縣市, 藍白瞧一個出來選就對了!!",KMT_Lee,Positive
224,2026在野需要合作，否則三腳督，大概率會是民進黨當選,TPP_Huang,Positive
225,黃國昌不敢選到底啦！現在在演戲而已！額….我可以很負責任的說…..我黃國昌選的上嗎？….都是賴清德害我的,TPP_Huang,Negative
226,以前都投民進黨，現在此生不投民進黨,DPP_Su,Negative
227,昌哥加油,TPP_Huang,Positive
228,我昌哥最棒！,TPP_Huang,Positive
229,把蘇家貪的錢打出來,DPP_Su,Negative
230,四川年紀大該退休，給年輕黃國昌更能改變新北,TPP_Huang,Positive
231,戰神!!!!!!!!!!!!!,TPP_Huang,Positive
232,只支持蘇巧慧，因為侯友宜不能再選了,DPP_Su,Positive
233,天啦，這些選黃國昌的全然人不看執政理念,TPP_Huang,Negative
234,大陸人選黃國昌就知道黃國昌絕對不能選！,TPP_Huang,Negative
235,蘇氏黑金,DPP_Su,Negative
236,藍白要合 不然重複2024的悲哀,TPP_Huang,Positive
237,藍白要合 不然重複2024的悲哀,KMT_Lee,Positive
238,黃國昌趕快回去綠營娘家去騙綠營的選票比較實在啦！把黃國昌這個騙票投機分子踢回去綠營娘家才是對藍營最有利的，藍營的支持者們好好想一想吧,TPP_Huang,Negative
239,民眾黃玩好玩的,TPP_Huang,Positive
240,國民黨在新北做太久了尤其是侯友宜擺爛爛的快跟尤清一樣該換黨做了。,KMT_Lee,Positive
241,有老師投老師、有川伯投川伯，一個應該主攻整頓、一個主攻建設，兩個都很讚。反正民進黨選不到就可以了,TPP_Huang,Positive
242,有老師投老師、有川伯投川伯，一個應該主攻整頓、一個主攻建設，兩個都很讚。反正民進黨選不到就可以了,KMT_Lee,Positive
243,我是支持黃國昌票投李四川，有一個受訪者說的很好；國昌老師的格局要去更高的位置,KMT_Lee,Positive
244,川、昌誰贏誰出來，不會有任何意見，打蘇小雞連滾帶爬,KMT_Lee,Positive
245,李四川吧 真的有經驗，有想法，有能力的市長人選。 但黃國昌是全國人民都需要，暫時立委繼續為我們加油好嗎？ 南部人的期許,KMT_Lee,Positive
246,川、昌誰贏誰出來，不會有任何意見，打蘇小雞連滾帶爬,KMT_Lee,Positive
247,還好 只看上一場 看到會難過 這一集有看 才會知道戰神是有能力拿下新北的  加油 所有新北挺藍白的 26年這一役 只能靠你們了 28年我們再整合集結所有力量 讓政黨輪替,TPP_Huang,Positive
248,還好 只看上一場 看到會難過 這一集有看 才會知道戰神是有能力拿下新北的  加油 所有新北挺藍白的 26年這一役 只能靠你們了 28年我們再整合集結所有力量 讓政黨輪替,KMT_Lee,Positive
249,國民黨和民眾黨共推人選就沒問題了,TPP_Huang,Positive
250,國民黨和民眾黨共推人選就沒問題了,KMT_Lee,Positive
251,希望四川可以跟國昌搭,TPP_Huang,Positive
252,希望四川可以跟國昌搭,KMT_Lee,Positive
